ZIP,City,State,County
40363,PerryPark,KY,Owen
40365,Pomeroyton,KY,Menifee
40366,Preston,KY,Bath
40370,Sadieville,KY,Scott
40371,SaltLick,KY,Bath
40371,Sudith,KY,Bath
40372,Bondville,KY,Mercer
40372,Salvisa,KY,Mercer
40374,Bethel,KY,Bath
40374,Sharpsburg,KY,Bath
40376,NaturalBridge,KY,Powell
40376,Slade,KY,Powell
40379,Minorsville,KY,Scott
40379,StampingGround,KY,Scott
40380,Patsey,KY,Powell
40380,Rosslyn,KY,Powell
40380,Stanton,KY,Powell
40383,Versailles,KY,Woodford
40384,RandMcnallyInc,KY,Woodford
40384,Versailles,KY,Woodford
40385,Bybee,KY,Madison
40385,CollegeHill,KY,Madison
40385,Waco,KY,Madison
40386,CrolierBooks,KY,Woodford
40386,Versailles,KY,Woodford
40387,Korea,KY,Menifee
40387,Wellington,KY,Menifee
40390,HighBridge,KY,Jessamine
40390,Wilmore,KY,Jessamine
40391,Ford,KY,Clark
40391,Winchester,KY,Clark
40392,Winchester,KY,Clark
40402,Annville,KY,Jackson
40402,Bond,KY,Jackson
40402,MooresCreek,KY,Jackson
40403,Berea,KY,Madison
40404,Berea,KY,Madison
40404,BereaCollege,KY,Madison
40405,Bighill,KY,Madison
40409,Brodhead,KY,Rockcastle
40410,Bryantsville,KY,Garrard
40415,Cobhill,KY,Estill
40419,CrabOrchard,KY,Lincoln
40420,Crystal,KY,Estill
40421,Dabolt,KY,Jackson
40422,Danville,KY,Boyle
40423,Danville,KY,Boyle
40426,Dreyfus,KY,Madison
40430,Egypt,KY,Jackson
40434,GrayHawk,KY,Jackson
40435,Herd,KY,Jackson
40437,Hustonville,KY,Lincoln
40440,JunctionCity,KY,Boyle
40441,KerbyKnob,KY,Jackson
40442,KingsMountain,KY,Lincoln
40444,Lancaster,KY,Garrard
40445,Livingston,KY,Rockcastle
40446,ChristianAppalachian,KY,Garrard
40446,Lancaster,KY,Garrard
40447,CloverBottom,KY,Jackson
40447,Eberle,KY,Jackson
40447,Foxtown,KY,Jackson
40447,Hisle,KY,Jackson
40447,McKee,KY,Jackson
40447,Morrill,KY,Jackson
40447,NewZion,KY,Jackson
40447,Parrot,KY,Jackson
40448,McKinney,KY,Lincoln
40452,Mitchellsburg,KY,Boyle
40456,Climax,KY,Rockcastle
40456,Conway,KY,Rockcastle
40456,Disputanta,KY,Rockcastle
40456,MountVernon,KY,Rockcastle
40460,Johnetta,KY,Rockcastle
40460,Livingston,KY,Rockcastle
40460,Orlando,KY,Rockcastle
40461,PaintLick,KY,Garrard
40464,Parksville,KY,Boyle
40467,Peoples,KY,Jackson
40468,Perryville,KY,Boyle
40472,Irvine,KY,Estill
40472,Ravenna,KY,Estill
40473,RenfroValley,KY,Rockcastle
40475,Richmond,KY,Madison
40476,Richmond,KY,Madison
40481,Sandgap,KY,Jackson
40484,Stanford,KY,Lincoln
40486,Elias,KY,Jackson
40486,Maulden,KY,Jackson
40486,Tyner,KY,Jackson
40488,Waneta,KY,Jackson
40489,Waynesburg,KY,Lincoln
40492,Wildie,KY,Rockcastle
40494,WindCave,KY,Jackson
40495,Winston,KY,Estill
40500,Lexington,KY,Fayette
40501,Lexington,KY,Fayette
40502,Lexington,KY,Fayette
40503,Lexington,KY,Fayette
40504,Lexington,KY,Fayette
40505,Lexington,KY,Fayette
40506,Lexington,KY,Fayette
40506,UniversityOfKy,KY,Fayette
40507,Lexington,KY,Fayette
40508,Lexington,KY,Fayette
40509,Lexington,KY,Fayette
40510,Lexington,KY,Fayette
40511,Lexington,KY,Fayette
40512,Lexington,KY,Fayette
40513,Lexington,KY,Fayette
40514,Lexington,KY,Fayette
40515,Lexington,KY,Fayette
40516,Lexington,KY,Fayette
40517,Lexington,KY,Fayette
40522,Lexington,KY,Fayette
40523,Lexington,KY,Fayette
40524,Lexington,KY,Fayette
40526,Lexington,KY,Fayette
40526,UniversityOfKyResHalls,KY,Fayette
40533,Lexington,KY,Fayette
40536,Lexington,KY,Fayette
40536,UniversityOfKyMedCtr,KY,Fayette
40544,Lexington,KY,Fayette
40546,Lexington,KY,Fayette
40546,UniversityOfKyAgriDept,KY,Fayette
40555,Lexington,KY,Fayette
40574,Lexington,KY,Fayette
40575,Lexington,KY,Fayette
40576,Lexington,KY,Fayette
40577,Lexington,KY,Fayette
40578,Lexington,KY,Fayette
40579,Lexington,KY,Fayette
40580,Lexington,KY,Fayette
40581,Lexington,KY,Fayette
40582,Lexington,KY,Fayette
40583,Lexington,KY,Fayette
40584,Lexington,KY,Fayette
40585,Lexington,KY,Fayette
40586,Lexington,KY,Fayette
40587,Lexington,KY,Fayette
40588,Lexington,KY,Fayette
40589,Lexington,KY,Fayette
40590,Lexington,KY,Fayette
40591,Lexington,KY,Fayette
40592,Lexington,KY,Fayette
40593,Lexington,KY,Fayette
40594,Lexington,KY,Fayette
40595,Lexington,KY,Fayette
40596,Lexington,KY,Fayette
40601,Frankfort,KY,Franklin
40601,Hatton,KY,Franklin
40602,Frankfort,KY,Franklin
40603,Frankfort,KY,Franklin
40604,Frankfort,KY,Franklin
40618,Frankfort,KY,Franklin
40618,KyDeptOfRevenue,KY,Franklin
40619,DivisionOfSalesUseTax,KY,Franklin
40619,Frankfort,KY,Franklin
40620,Frankfort,KY,Franklin
40620,KyDeptOfRevenue,KY,Franklin
40621,Frankfort,KY,Franklin
40621,KyDeptHumanResources,KY,Franklin
40622,Frankfort,KY,Franklin
40622,KyDeptOfTransportation,KY,Franklin
40701,BarkCamp,KY,Whitley
40701,Corbin,KY,Whitley
40701,Walden,KY,Whitley
40702,Corbin,KY,Whitley
40724,Bush,KY,Laurel
40729,EastBernstadt,KY,Laurel
40729,HazelPatch,KY,Laurel
40729,Symbol,KY,Laurel
40729,Victory,KY,Laurel
40730,Emlyn,KY,Whitley
40734,Gray,KY,Knox
40737,Keavy,KY,Laurel
40740,Lily,KY,Laurel
40741,London,KY,Laurel
40741,Sasser,KY,Laurel
40742,London,KY,Laurel
40743,London,KY,Laurel
40745,London,KY,Laurel
40751,Marydell,KY,Laurel
40754,Nevisdale,KY,Whitley
40755,Pittsburg,KY,Laurel
40759,MeadowCreek,KY,Whitley
40759,Rockholds,KY,Whitley
40763,Siler,KY,Whitley
40769,CumberlandCollege,KY,Whitley
40769,PleasantView,KY,Whitley
40769,Williamsburg,KY,Whitley
40771,Woodbine,KY,Knox
40801,Ages,KY,Harlan
40801,AgesBrookside,KY,Harlan
40801,Brookside,KY,Harlan
40803,Asher,KY,Leslie
40806,Baxter,KY,Harlan
40806,Keith,KY,Harlan
40807,Benham,KY,Harlan
40808,BigLaurel,KY,Harlan
40810,Bledsoe,KY,Harlan
40810,LewisCreek,KY,Harlan
40810,PineMountain,KY,Harlan
40813,Calvin,KY,Bell
40815,Cawood,KY,Harlan
40815,Crummies,KY,Harlan
40815,ThreePoint,KY,Harlan
40816,Chappell,KY,Leslie
40818,Coalgood,KY,Harlan
40819,Coldiron,KY,Harlan
40819,Molus,KY,Harlan
40820,Cranks,KY,Harlan
40823,Chad,KY,Harlan
40823,Cumberland,KY,Harlan
40823,Hiram,KY,Harlan
40824,Dayhoit,KY,Harlan
40825,Dizney,KY,Harlan
40826,Eolia,KY,Letcher
40827,Essie,KY,Leslie
40828,BaileyCreek,KY,Harlan
40828,Evarts,KY,Harlan
40828,Louellen,KY,Harlan
40828,Redbud,KY,Harlan
40828,Woods,KY,Harlan
40828,YocumCreek,KY,Harlan
40829,GraysKnob,KY,Harlan
40830,Gulston,KY,Harlan
40831,Blackjoe,KY,Harlan
40831,Chevrolet,KY,Harlan
40831,Clovertown,KY,Harlan
40831,Coxton,KY,Harlan
40831,Elcomb,KY,Harlan
40831,GoldenAsh,KY,Harlan
40831,Harlan,KY,Harlan
40831,HarlanGas,KY,Harlan
40831,Kitts,KY,Harlan
40831,Liggett,KY,Harlan
40831,Saylor,KY,Harlan
40831,SprucePine,KY,Harlan
40831,Stanfill,KY,Harlan
40831,Sunshine,KY,Harlan
40831,Teetersville,KY,Harlan
40831,Tway,KY,Harlan
40831,Yancey,KY,Harlan
40840,Harlan,KY,Leslie
40840,Helton,KY,Leslie
40843,HolmesMill,KY,Harlan
40844,Hoskinston,KY,Leslie
40845,Cardinal,KY,Bell
40845,Hulen,KY,Bell
40847,Kenvir,KY,Harlan
40849,Lejunior,KY,Harlan
40854,Loyall,KY,Harlan
40855,Lynch,KY,Harlan
40856,Cubage,KY,Bell
40856,Miracle,KY,Bell
40858,Mozelle,KY,Leslie
40861,OvenFork,KY,Letcher
40862,Partridge,KY,Letcher
40863,Alva,KY,Harlan
40863,Pathfork,KY,Harlan
40865,Putney,KY,Harlan
40867,Smith,KY,Harlan
40868,Stinnett,KY,Leslie
40870,Totz,KY,Harlan
40873,Wallins,KY,Harlan
40873,WallinsCreek,KY,Harlan
40874,Warbranch,KY,Leslie
40902,Arjay,KY,Bell
40903,Artemus,KY,Knox
40906,BaileySwitch,KY,Knox
40906,Barbourville,KY,Knox
40906,BooneHeights,KY,Knox
40906,Carpenter,KY,Knox
40906,CraneNest,KY,Knox
40906,Gausdale,KY,Knox
40906,Himyar,KY,Knox
40906,Jarvis,KY,Knox
40906,Kayjay,KY,Knox
40906,Sprule,KY,Knox
40906,SwanLake,KY,Knox
40906,Swanpond,KY,Knox
40906,Tedders,KY,Knox
40906,Warren,KY,Knox
40911,Barbourville,KY,Knox
40911,Baughman,KY,Knox
40913,Beverly,KY,Bell
40913,RedBird,KY,Bell
40914,BigCreek,KY,Clay
40914,Peabody,KY,Clay
40915,Bimble,KY,Knox
40921,BryantsStore,KY,Knox
40923,Cannon,KY,Knox
40927,Closplint,KY,Harlan
40930,Dewitt,KY,Knox
40931,Eriline,KY,Clay
40931,JacksCreek,KY,Clay
40932,FallRock,KY,Clay
40935,FlatLick,KY,Knox
40935,Hammond,KY,Knox
40935,SaltGum,KY,Knox
40936,Fogertown,KY,Clay
40939,Elys,KY,Knox
40939,Fourmile,KY,Knox
40939,IvyGrove,KY,Knox
40940,Fonde,KY,Bell
40940,Frakes,KY,Bell
40940,LaurelFork,KY,Bell
40941,Garrard,KY,Clay
40943,Girdler,KY,Knox
40944,GooseRock,KY,Clay
40946,GreenRoad,KY,Knox
40949,Heidrick,KY,Knox
40951,Hima,KY,Clay
40953,Hinkle,KY,Knox
40955,Ark,KY,Bell
40955,Ingram,KY,Bell
40958,KettleIsland,KY,Bell
40962,Bluehole,KY,Clay
40962,BrightShade,KY,Clay
40962,Grace,KY,Clay
40962,Hector,KY,Clay
40962,Manchester,KY,Clay
40962,Marcum,KY,Clay
40962,Ogle,KY,Clay
40962,Tanksley,KY,Clay
40962,Urban,KY,Clay
40962,Wildcat,KY,Clay
40964,MaryAlice,KY,Harlan
40965,Middlesboro,KY,Bell
40965,Middlesborough,KY,Bell
40970,Mills,KY,Knox
40972,Brutus,KY,Clay
40972,Oneida,KY,Clay
40972,Teges,KY,Clay
40977,Balkan,KY,Bell
40977,Callaway,KY,Bell
40977,Cary,KY,Bell
40977,Chenoa,KY,Bell
40977,ClearCreek,KY,Bell
40977,ClearCreekSprings,KY,Bell
40977,Davisburg,KY,Bell
40977,DortonBranch,KY,Bell
40977,EastPineville,KY,Bell
40977,Field,KY,Bell
40977,Hosman,KY,Bell
40977,Jenson,KY,Bell
40977,LogMountain,KY,Bell
40977,Pineville,KY,Bell
40977,StraightCreek,KY,Bell
40977,Tinsley,KY,Bell
40977,Wallsend,KY,Bell
40978,Plank,KY,Clay
40979,Roark,KY,Leslie
40981,Saul,KY,Perry
40982,Scalf,KY,Knox
40983,SextonsCreek,KY,Clay
40988,StoneyFork,KY,Bell
40995,Trosper,KY,Knox
40997,Walker,KY,Knox
40999,Woollum,KY,Knox
41001,Alexandria,KY,Campbell
41001,Claryville,KY,Campbell
41001,GrantsLick,KY,Campbell
41002,Augusta,KY,Bracken
41002,Chatham,KY,Bracken
41002,Sharon,KY,Bracken
41003,Berry,KY,Harrison
41004,Bladeston,KY,Bracken
41004,Brooksville,KY,Bracken
41004,Cumminsville,KY,Bracken
41004,Gertrude,KY,Bracken
41004,Petra,KY,Bracken
41004,Powersville,KY,Bracken
41004,Stonewall,KY,Bracken
41004,Willow,KY,Bracken
41004,Woolcott,KY,Bracken
41005,Belleview,KY,Boone
41005,Bullittsville,KY,Boone
41005,Burlington,KY,Boone
41005,CampErnest,KY,Boone
41005,Idlewild,KY,Boone
41005,Limaburg,KY,Boone
41005,Mcville,KY,Boone
41005,RabbitHash,KY,Boone
41006,Butler,KY,Pendleton
41006,Carntown,KY,Pendleton
41006,MountAuburn,KY,Pendleton
41006,Peachgrove,KY,Pendleton
41006,PleasantHill,KY,Pendleton
41007,California,KY,Campbell
41007,Carthage,KY,Campbell
41007,FlaggSpring,KY,Campbell
41007,GubserMill,KY,Campbell
41007,Mentor,KY,Campbell
41008,Carrollton,KY,Carroll
41008,English,KY,Carroll
41008,Prestonville,KY,Carroll
41009,Constance,KY,Boone
41010,Blanchet,KY,Grant
41010,Corinth,KY,Grant
41011,Cov,KY,Kenton
41011,Covington,KY,Kenton
41011,Decoursey,KY,Kenton
41011,FortWright,KY,Kenton
41011,KentonHills,KY,Kenton
41011,LookoutHeights,KY,Kenton
41011,ParkHills,KY,Kenton
41012,Covington,KY,Kenton
41014,Covington,KY,Kenton
41014,Rouse,KY,Kenton
41015,Covington,KY,Kenton
41015,Kentonvale,KY,Kenton
41015,Latonia,KY,Kenton
41015,LatoniaLakes,KY,Kenton
41015,Rosedale,KY,Kenton
41015,Ryland,KY,Kenton
41015,RylandHeights,KY,Kenton
41015,TaylorMill,KY,Kenton
41016,Bromley,KY,Kenton
41016,Covington,KY,Kenton
41016,Ludlow,KY,Kenton
41017,Covington,KY,Kenton
41017,CrescentPark,KY,Kenton
41017,CrescentSprings,KY,Kenton
41017,CrestviewHills,KY,Kenton
41017,Dixie,KY,Kenton
41017,Edgewood,KY,Kenton
41017,FortMitchell,KY,Kenton
41017,LakesidePark,KY,Kenton
41017,SoFortMitchell,KY,Kenton
41017,VillaHills,KY,Kenton
41018,Covington,KY,Kenton
41018,Elsmere,KY,Kenton
41018,Erlanger,KY,Kenton
41019,Covington,KY,Kenton
41019,InternalRevenue,KY,Kenton
41022,Florence,KY,Boone
41030,Bracht,KY,Grant
41030,Crittenden,KY,Grant
41030,Flingsville,KY,Grant
41031,Breckinridge,KY,Harrison
41031,Broadwell,KY,Harrison
41031,BuenaVista,KY,Harrison
41031,Colville,KY,Harrison
41031,Connersville,KY,Harrison
41031,Cynthiana,KY,Harrison
41031,Hooktown,KY,Harrison
41031,Lair,KY,Harrison
41031,LeesLick,KY,Harrison
41031,Leesburg,KY,Harrison
41031,Morningglory,KY,Harrison
41031,Oddville,KY,Harrison
41031,Poindexter,KY,Harrison
41031,RuddelsMills,KY,Harrison
41031,Rutland,KY,Harrison
41031,Shadynook,KY,Harrison
41031,Shawhan,KY,Harrison
41031,Sunrise,KY,Harrison
41033,DeMossville,KY,Pendleton
41033,Demossville,KY,Pendleton
41033,Fiskburg,KY,Pendleton
41033,Gardnersville,KY,Pendleton
41033,Portland,KY,Pendleton
41034,Dover,KY,Mason
41035,DryRidge,KY,Grant
41035,Sherman,KY,Grant
41037,Elizaville,KY,Fleming
41039,BattleRun,KY,Fleming
41039,Cowan,KY,Fleming
41039,Ewing,KY,Fleming
41039,Nepton,KY,Fleming
41040,BrowningsCorner,KY,Pendleton
41040,Falmouth,KY,Pendleton
41040,FourOaks,KY,Pendleton
41040,Goforth,KY,Pendleton
41040,Lenoxburg,KY,Pendleton
41040,LocustGrove,KY,Pendleton
41040,Mckinneysburg,KY,Pendleton
41040,Morgan,KY,Pendleton
41040,Neave,KY,Pendleton
41040,Pendleton,KY,Pendleton
41041,BaldHill,KY,Fleming
41041,BlueBank,KY,Fleming
41041,Craintown,KY,Fleming
41041,Dalesburg,KY,Fleming
41041,Flemingsburg,KY,Fleming
41041,FlemingsburgJunction,KY,Fleming
41041,MarthaMills,KY,Fleming
41041,MountCarmel,KY,Fleming
41041,Pecksridge,KY,Fleming
41041,PoplarPlains,KY,Fleming
41041,Sherburne,KY,Fleming
41041,Sutton,KY,Fleming
41041,Tilton,KY,Fleming
41042,Devon,KY,Boone
41042,Florence,KY,Boone
41042,HopefulHeights,KY,Boone
41043,Berlin,KY,Bracken
41043,Bradford,KY,Bracken
41043,Foster,KY,Bracken
41043,Johnsville,KY,Bracken
41043,Wellsburg,KY,Bracken
41043,WillowGrove,KY,Bracken
41044,Abegall,KY,Bracken
41044,Germantown,KY,Bracken
41045,Carrollton,KY,Carroll
41045,Ghent,KY,Carroll
41046,Glencoe,KY,Gallatin
41048,Francisville,KY,Boone
41048,Hebron,KY,Boone
41048,Stringtown,KY,Boone
41048,Taylorsport,KY,Boone
41049,Colfax,KY,Fleming
41049,GrangeCity,KY,Fleming
41049,Hillsboro,KY,Fleming
41049,RingosMills,KY,Fleming
41049,Sharkey,KY,Fleming
41051,Independence,KY,Kenton
41051,Nicholson,KY,Kenton
41051,WhiteTower,KY,Kenton
41052,Jonesville,KY,Grant
41053,Kenton,KY,Kenton
41054,Mason,KY,Grant
41055,Helena,KY,Mason
41055,Mayslick,KY,Mason
41055,Needmore,KY,Mason
41055,Shannon,KY,Mason
41055,Wedonia,KY,Mason
41056,CountryClubHeights,KY,Mason
41056,Lewisburg,KY,Mason
41056,LimestoneSq,KY,Mason
41056,Maysville,KY,Mason
41056,Moranburg,KY,Mason
41056,Murphysville,KY,Mason
41056,Orangeburg,KY,Mason
41056,Plumville,KY,Mason
41056,Rectorville,KY,Mason
41056,Sardis,KY,Mason
41056,Springdale,KY,Mason
41059,Campsprings,KY,Campbell
41059,Melbourne,KY,Campbell
41059,Ross,KY,Campbell
41061,Milford,KY,Bracken
41062,Minerva,KY,Mason
41063,Atwood,KY,Kenton
41063,MorningView,KY,Kenton
41063,Piner,KY,Kenton
41063,Visalia,KY,Kenton
41064,Kentontown,KY,Robertson
41064,MountOlivet,KY,Robertson
41064,Piqua,KY,Robertson
41065,MusesMills,KY,Fleming
41071,Newport,KY,Campbell
41071,SNewport,KY,Campbell
41071,SoNewport,KY,Campbell
